============================================================
  Generated by:           Genus(TM) Synthesis Solution 18.10-p003_1
  Generated on:           Sep 20 2019  09:44:08 pm
  Module:                 nco
  Operating conditions:   BCCOM 
  Interconnect mode:      placement
  Area mode:              physical library
============================================================

                                
   Gate    Instances    Area         Library     
MUX2D4             3     18.360    tcbn65gplusbc 
ND2D1            204    293.760    tcbn65gplusbc 
ND2D2            204    514.080    tcbn65gplusbc 
ND2D3             93    301.320    tcbn65gplusbc 
ND2D4            114    492.480    tcbn65gplusbc 
ND2D8            106    839.520    tcbn65gplusbc 
ND3D1             12     25.920    tcbn65gplusbc 
ND3D2             32    103.680    tcbn65gplusbc 
ND3D3             33    154.440    tcbn65gplusbc 
ND3D4             15     91.800    tcbn65gplusbc 
ND3D8             19    232.560    tcbn65gplusbc 
ND4D4              1      8.640    tcbn65gplusbc 
NR2D0              1      1.440    tcbn65gplusbc 
NR2D1             74    106.560    tcbn65gplusbc 
NR2D2             92    231.840    tcbn65gplusbc 
NR2D3             45    145.800    tcbn65gplusbc 
NR2D4             30    129.600    tcbn65gplusbc 
NR2D8             29    229.680    tcbn65gplusbc 
NR2XD0            45     64.800    tcbn65gplusbc 
NR2XD1            50    126.000    tcbn65gplusbc 
NR2XD2            83    358.560    tcbn65gplusbc 
NR2XD3            23    140.760    tcbn65gplusbc 
NR2XD4            29    229.680    tcbn65gplusbc 
NR2XD8            12    185.760    tcbn65gplusbc 
NR3D0              3      6.480    tcbn65gplusbc 
NR3D1              1      3.240    tcbn65gplusbc 
NR3D2              7     40.320    tcbn65gplusbc 
NR3D3              6     51.840    tcbn65gplusbc 
NR3D4              3     31.320    tcbn65gplusbc 
NR3D8              2     37.440    tcbn65gplusbc 
OA211D1            2      5.760    tcbn65gplusbc 
OA21D0             2      5.040    tcbn65gplusbc 
OA21D1            22     55.440    tcbn65gplusbc 
OA21D2             4     11.520    tcbn65gplusbc 
OA21D4             5     28.800    tcbn65gplusbc 
OA221D0            1      3.600    tcbn65gplusbc 
OA221D1            3     11.880    tcbn65gplusbc 
OA222D1            1      4.320    tcbn65gplusbc 
OA22D0             1      2.880    tcbn65gplusbc 
OA22D1             5     16.200    tcbn65gplusbc 
OA22D2             5     19.800    tcbn65gplusbc 
OA22D4             3     19.440    tcbn65gplusbc 
OA32D1             1      3.960    tcbn65gplusbc 
